name,ring,quadrant,isNew,description
Python 3,Adopt,Languages&Frameworks,FALSE,"<p>Основной скриптовый язык, используемый в компании</p>"
Java 11+,Adopt,Languages&Frameworks,FALSE,"<p>Основной ООП-язык, используемый в компании. Необходимо использовать текущую LTS-версию или выше. </p>"
Camel,Adopt,Languages&Frameworks,FALSE,"<p>Java-фреймворк, реализующий <a href=""https://www.enterpriseintegrationpatterns.com/"">Enterprise Integration Patterns</a>, описанные Gregor Hohpe ещё в 2003-м.</p>"
Kotlin,Trial,Languages&Frameworks,FALSE,"<p>JVM-совместимый перспективный ООП-язык от компании JetBrains. По мере развития компетенции внутри S7, может быть переведен в кольцо Adopt. </p>"
Kotlin (Android),Adopt,Languages&Frameworks,FALSE,"<p>Язык для нативной разработки под Android, рекомендованный Google как приоритетный.</p>"
Swift (iOS),Adopt,Languages&Frameworks,FALSE,<p>Стандартный язык для нативной разработки под iOS.</p>
Golang,Trial,Languages&Frameworks,FALSE,"<p>Компилируемый многопоточный язык со строгой статической типизацией, разработанный в компании Google. В компании есть несколько запущенных решений написанных на этом языке, но текущий объем компетенции не позволяет перевести язык в кольцо Adopt.</p>"
Camel-K,Assess,Languages&Frameworks,FALSE,"<p>Java-фреймворк, реализующий <a href=""https://www.enterpriseintegrationpatterns.com/"">Enterprise Integration Patterns</a>, но .</p>"
Java 8,Hold,Languages&Frameworks,FALSE,<p>Версия 8 не поддерживается. Разработкак должна осуществляться на версиях 11 и выше.</p>
.Net,Hold,Languages&Frameworks,FALSE,"<p>Несмотря на высокую популярность .Net-проектов, в компании сделан выбор в пользу других языков - Java, Python, Kotlin, Golang, Scala.</p>"
Scala,Trial,Languages&Frameworks,FALSE,"<p>Мультипарадигменный JVM-язык, поддерживающий концепции функционального программирования.</p>"
Spring Boot,Adopt,Languages&Frameworks,FALSE,"<p>Основной фрейворк в Java-мире разработки, позволяющий вести быструю разработку корпоративных приложений.</p>"
Node.JS ,Trial,Languages&Frameworks,FALSE,"<p>Фрейворк, позволяющий использовать JavaScript для бэкенд-приложений.</p>"
React,Adopt,Languages&Frameworks,FALSE,<p>JavaScript-фрейворк для приложений с любым профилем нагрузки.</p>
Angular,Adopt,Languages&Frameworks,FALSE,
Vue.JS,Trial,Languages&Frameworks,FALSE,"<p>JavaScript-фрейворк с более низким порогом входа, чем React. По мере развития компетенций внутри ПГК S7, технология может быть переведна в Adopt.</p>"
PHP,Hold,Languages&Frameworks,FALSE,"<p>Язык, имеющий достатчно узкую специализацию - разработка веб-приложений. Стартовать разработку новых решений с его использованием нецелесообразно.</p>"
Windows Server,Hold,Infrastructure&Tools,FALSE,"<p>Операционная система, которую нецелесообразно использовать, кроме случаев, когда её установка требуется для ""коробочного"" решения.</p>"
Prometheus,Adopt,Infrastructure&Tools,FALSE,
Ansible,Adopt,Infrastructure&Tools,FALSE,
Terraform,Adopt,Infrastructure&Tools,FALSE,
Gitlab CI,Adopt,Infrastructure&Tools,FALSE,
Kubernetes (см. Container-as a Service),Hold,Infrastructure&Tools,FALSE,Развертывание отдельных инстансов нецелесообразно. Следует использовать Container-as-a-Service.
Helm 3,Adopt,Infrastructure&Tools,FALSE,
Oracle Linux,Adopt,Infrastructure&Tools,FALSE,
CentOS,Adopt,Infrastructure&Tools,FALSE,
CoreOS,Hold,Infrastructure&Tools,FALSE,
Fedora CoreOS,Trial,Infrastructure&Tools,FALSE,
Scylla DB (см. Key Value-as a Service),Hold,Data Management,FALSE,Развертывание отдельных инстансов нецелесообразно. Следует использовать Key Value-as a Service.
Kafka (см. Kafka-as a Service),Hold,Data Management,FALSE,Развертывание отдельных инстансов нецелесообразно. Следует использовать Enterprise Data Bus или Kafka-as a Service.
Vertica DB,Adopt,Data Management,FALSE,
PostgreSQL (см. Database-as a Service),Hold,Data Management,FALSE,Развертывание отдельных инстансов нецелесообразно. Следует использовать DB-as-a-Service.
Tableau,Adopt,Data Management,FALSE,
Clickhouse,Trial,Data Management,FALSE,
Faust,Assess,Data Management,FALSE,
Kafka-Streams,Assess,Data Management,FALSE,
Kafka Connect,Adopt,Data Management,FALSE,
Debezium,Adopt,Data Management,FALSE,
KSQLDB,Assess,Data Management,FALSE,
Apache Superset,Trial,Data Management,FALSE,
Oracle DB,Hold,Data Management,FALSE,
Apache Airflow,Adopt,Data Management,FALSE,
Apache Spark,Adopt,Data Management,FALSE,
Microsoft SQL Server,Hold,Data Management,FALSE,
ElasticSearch 7+,Adopt,Data Management,FALSE,
