name;ring;quadrant;isNew;description;
Python 3;Adopt;Languages&Frameworks;ЛОЖЬ;<p>Основной скриптовый язык, используемый в компании</p>;
Java 17+;Adopt;Languages&Frameworks;ЛОЖЬ;<p>Основной ООП-язык, используемый в компании. Необходимо использовать текущую LTS-версию или выше. </p>;
Camel;Adopt;Languages&Frameworks;ЛОЖЬ;"<p>Java-фреймворк, реализующий <a href='https://www.enterpriseintegrationpatterns.com/'>Enterprise Integration Patterns</a>, описанные Gregor Hohpe ещё в 2003-м.</p>";
Kotlin;Hold;Languages&Frameworks;ЛОЖЬ;<p>JVM-совместимый перспективный ООП-язык от компании JetBrains. </p>;
Kotlin (Android);Adopt;Languages&Frameworks;ЛОЖЬ;<p>Язык для нативной разработки под Android, рекомендованный Google как приоритетный.</p>;
Swift (iOS);Adopt;Languages&Frameworks;ЛОЖЬ;<p>Стандартный язык для нативной разработки под iOS.</p>;
Golang;Assess;Languages&Frameworks;ЛОЖЬ;<p>Компилируемый многопоточный язык со строгой статической типизацией, разработанный в компании Google. В компании есть несколько запущенных решений написанных на этом языке, но текущий объем компетенции не позволяет перевести язык в кольцо Adopt.</p>;
Camel-K;Assess;Languages&Frameworks;ЛОЖЬ;"<p>Java-фреймворк, реализующий <a href=""https://www.enterpriseintegrationpatterns.com/"">Enterprise Integration Patterns</a>, но .</p>";
Java 8, 11;Hold;Languages&Frameworks;ЛОЖЬ;<p>Версия 8 не поддерживается. Разработкак должна осуществляться на версиях 11 и выше.</p>;
.Net;Hold;Languages&Frameworks;ЛОЖЬ;<p>Несмотря на высокую популярность .Net-проектов, в компании сделан выбор в пользу других языков - Java, Python, Kotlin, Golang, Scala.</p>;
Scala;Trial;Languages&Frameworks;ЛОЖЬ;<p>Мультипарадигменный JVM-язык, поддерживающий концепции функционального программирования.</p>;
Spring Boot;Adopt;Languages&Frameworks;ЛОЖЬ;<p>Основной фрейворк в Java-мире разработки, позволяющий вести быструю разработку корпоративных приложений.</p>;
Node.JS ;Trial;Languages&Frameworks;ЛОЖЬ;<p>Фрейворк, позволяющий использовать JavaScript для бэкенд-приложений.</p>;
React;Adopt;Languages&Frameworks;ЛОЖЬ;<p>JavaScript-фрейворк для приложений с любым профилем нагрузки.</p>;
NextJS;Trial;Languages&Frameworks;ИСТИНА;;
Angular;Adopt;Languages&Frameworks;ЛОЖЬ;;
Vue.JS;Adopt;Languages&Frameworks;ЛОЖЬ;<p>JavaScript-фрейворк с более низким порогом входа, чем React. По мере развития компетенций внутри ПГК S7, технология может быть переведна в Adopt.</p>;
PHP;Hold;Languages&Frameworks;ЛОЖЬ;<p>Язык, имеющий достатчно узкую специализацию - разработка веб-приложений. Стартовать разработку новых решений с его использованием нецелесообразно.</p>;
Windows Server;Hold;Infrastructure&Tools;ЛОЖЬ;"<p>Операционная система, которую нецелесообразно использовать, кроме случаев, когда её установка требуется для ""коробочного"" решения.</p>";
Prometheus;Adopt;Infrastructure&Tools;ЛОЖЬ;;
Ansible;Adopt;Infrastructure&Tools;ЛОЖЬ;;
Terraform;Adopt;Infrastructure&Tools;ЛОЖЬ;;
Gitlab CI;Adopt;Infrastructure&Tools;ЛОЖЬ;;
Kubernetes (см. Container-as a Service);Hold;Infrastructure&Tools;ЛОЖЬ;Развертывание отдельных инстансов нецелесообразно. Следует использовать Container-as-a-Service.;
Helm 3;Adopt;Infrastructure&Tools;ЛОЖЬ;;
Oracle Linux;Adopt;Infrastructure&Tools;ЛОЖЬ;;
CentOS;Adopt;Infrastructure&Tools;ЛОЖЬ;;
CoreOS;Hold;Infrastructure&Tools;ЛОЖЬ;;
Scylla DB ;Trial;Data Management;ЛОЖЬ;Развертывание отдельных инстансов нецелесообразно. Следует использовать Key Value-as a Service.;
Kafka (см. Kafka-as a Service);Hold;Data Management;ЛОЖЬ;Развертывание отдельных инстансов нецелесообразно. Следует использовать Enterprise Data Bus или Kafka-as a Service.;
Vertica DB Community Edition;Adopt;Data Management;ЛОЖЬ;;
Greenplum;Assess;Data Management;ИСТИНА;;
PostgreSQL (см. Database-as a Service);Hold;Data Management;ЛОЖЬ;Развертывание отдельных инстансов нецелесообразно. Следует использовать DB-as-a-Service.;
Tableau;Adopt;Data Management;ЛОЖЬ;;
Clickhouse;Adopt;Data Management;ЛОЖЬ;;
Kafka-Streams;Trial;Data Management;ЛОЖЬ;;
Kafka Connect;Trial;Data Management;ЛОЖЬ;;
Debezium;Adopt;Data Management;ЛОЖЬ;;
KSQLDB;Trial;Data Management;ЛОЖЬ;;
Apache Superset;Trial;Data Management;ЛОЖЬ;;
Oracle DB;Hold;Data Management;ЛОЖЬ;;
Apache Airflow;Adopt;Data Management;ЛОЖЬ;;
Apache Spark;Adopt;Data Management;ЛОЖЬ;;
Microsoft SQL Server;Hold;Data Management;ЛОЖЬ;;
Redis;Adopt;Data Management;ИСТИНА;;
ElasticSearch 7+;Adopt;Data Management;ЛОЖЬ;;
Storage-as a Service (S3 v4 compatible);Adopt;S7 Platforms;ЛОЖЬ;Сервис корпоративной облачной платформы, предоставляющий объектное хранилище S3 как услугу. ;
Container-as a Service (k8s compatible);Adopt;S7 Platforms;ЛОЖЬ;Сервис корпоративной облачной платформы, предоставляющий платформу контейнеризации как услугу. ;
Key Value-as a Service (Cassandra compatible);Hold;S7 Platforms;ЛОЖЬ;Сервис корпоративной облачной платформы, предоставляющий нереляционную базу данных ScyllaDB как услугу. ;
Database-as a Service;Adopt;S7 Platforms;ЛОЖЬ;Сервис корпоративной облачной платформы, предоставляющий реляционную базу данных PostgreSQL как услугу. ;
Kafka-as a Service;Assess;S7 Platforms;ЛОЖЬ;Сервис корпоративной облачной платформы, предоставляющий кластер Kafka (Managed Kafka Cluster) как услугу. ;
Data-as a Service;Adopt;S7 Platforms;ЛОЖЬ;;
Enterprise Data Bus;Trial;S7 Platforms;ЛОЖЬ;;
Enterprise Integration Platform;Adopt;S7 Platforms;ЛОЖЬ;Корпоративная платформа, предоставляющая стандартизованный набор интеграционных коннекторов и сервисов.;
EOS xM;Assess;S7 Platforms;ЛОЖЬ;Корпоративная платформа по сбору метрик и логов.;
;;;;;
